k,Ev,mes-ano,ONI
1491.8265199161426,0.3667554733787182,Jan-88,0.21329145
1423.1386268343815,0.3542358707194565,Feb-88,0.40614298
1373.6535639412998,0.35625615093608143,Mar-88,0.6486843
1320.2329664570232,0.35297301319867097,Apr-88,0.803786
1299.4575471698113,0.3628875709233706,May-88,0.9937907
1303.3561320754718,0.33718493921393977,Jun-88,1.119697
1346.1433438155136,0.3509772117766815,Jul-88,1.1661166
1381.355607966457,0.3459683179125784,Aug-88,1.1074963
1445.0469077568134,0.356204229576303,Sep-88,1.0324112
1582.2670335429768,0.37781471372879916,Oct-88,1.0743413
1709.7350628930817,0.39880219265979294,Nov-88,1.1571355
1741.1050838574424,0.4075533672152831,Dec-88,1.2209771
1714.401467505241,0.40125153755661713,Jan-89,1.2127947
1681.163784067086,0.3926812381631909,Feb-89,1.2401454
1713.1210691823899,0.3962357742116938,Mar-89,1.206617
1873.9585953878407,0.42101761047948355,Apr-89,1.177859
1945.333857442348,0.4298404452589652,May-89,1.0055976
1895.7984800838574,0.4252214066492523,Jun-89,0.8257675
1859.9190251572327,0.4171436441903234,Jul-89,0.56117564
1868.7586477987422,0.41616537876174464,Aug-89,0.3029574
1793.6218553459119,0.4170354845853412,Sep-89,-0.070356935
1675.3031970649895,0.38961828426712375,Oct-89,-0.49361548
1664.052672955975,0.38985958999790504,Nov-89,-0.8341728
1567.9295073375263,0.3691132386273368,Dec-89,-1.0427151
1489.1813417190776,0.3855140884249066,Jan-90,-1.0139296
1422.5762578616352,0.3786954174006433,Feb-90,-1.1474288
1259.0552935010483,0.32027878423438794,Mar-90,-1.2657233
1183.28249475891,0.3192350111386672,Apr-90,-1.5152141
1261.4019916142558,0.3291378443862087,May-90,-1.5637815
1307.388364779874,0.3338079799026682,Jun-90,-1.4598507
1275.5893605870021,0.3256354111352276,Jul-90,-1.2585461
1321.361111111111,0.3345368550032063,Aug-90,-0.96705306
1307.9360587002097,0.3334160502395164,Sep-90,-0.7391527
1273.19785115304,0.3327809236335857,Oct-90,-0.59396607
1277.6897274633125,0.3277660615926805,Nov-90,-0.5188517
1252.2583857442348,0.32253752505489713,Dec-90,-0.5028789
1255.4640985324947,0.3390781528936697,Jan-91,-0.41686267
1214.144392033543,0.32044297216008133,Feb-91,-0.3035981
1164.0683962264152,0.34748583869244576,Mar-91,-0.18796432
1152.3980607966457,0.3335958760517216,Apr-91,-0.1420369
1138.7389937106918,0.350915350736664,May-91,-0.103262864
1125.567610062893,0.3735396322541716,Jun-91,0.07062217
1161.1493710691823,0.4415270462168554,Jul-91,0.21642439
1261.75786163522,0.438503519651312,Aug-91,0.30936322
1333.583857442348,0.3489614768992037,Sep-91,0.28249094
1347.514675052411,0.3348875620511805,Oct-91,0.23070274
1333.442610062893,0.33316481739121073,Nov-91,0.14983581
1333.5353773584907,0.35809466190114747,Dec-91,0.13461955
1258.1480607966457,0.3401650631340177,Jan-92,0.1680495
1338.861897274633,0.3317557744928826,Feb-92,0.27430835
1442.668501048218,0.35236244110982307,Mar-92,0.30034572
1609.251572327044,0.37772749590683175,Apr-92,0.34024635
1602.2196016771488,0.3781950730670097,May-92,0.36960512
1663.882075471698,0.39074017982690995,Jun-92,0.3894849
1544.4661949685535,0.37427777509900056,Jul-92,0.33668196
1522.3807651991615,0.3752562795251012,Aug-92,0.27493447
1508.1603773584907,0.37096562220295926,Sep-92,0.20676929
1480.630503144654,0.3648012204494183,Oct-92,0.27563846
1343.083071278826,0.33974138545380456,Nov-92,0.33834374
1247.0880503144654,0.3315788014710568,Dec-92,0.43331182
1234.3582285115303,0.33806048643667075,Jan-93,0.4700466
1206.7300838574424,0.3279652555396916,Feb-93,0.54022974
1161.3233752620545,0.30661791149824613,Mar-93,0.74107474
1200.9908280922432,0.30778668030821177,Apr-93,1.0487322
1281.4960691823899,0.3204500651987647,May-93,1.2779423
1325.3668763102726,0.3343150878171785,Jun-93,1.3740263
1278.9554507337525,0.33509770315027215,Jul-93,1.3202823
1292.8259958071278,0.37239751119501,Aug-93,1.207866
1317.1029874213837,0.34371912800761006,Sep-93,0.97094774
1345.8600628930817,0.3434121400672899,Oct-93,0.7269044
1362.3860062893082,0.3488148293576556,Nov-93,0.49491164
1303.8862683438156,0.39559524051928835,Dec-93,0.31194958
1269.472746331237,0.3579856393061646,Jan-94,0.1709842
1312.5120545073376,0.3588992527759405,Feb-94,0.13654564
1302.7929769392033,0.33691903282532326,Mar-94,0.1862428
1293.8398846960167,0.33232895611474483,Apr-94,0.28342465
1341.2651991614255,0.3402537286519698,May-94,0.2955382
1357.6892033542977,0.3427526482920607,Jun-94,0.30652818
1258.657756813417,0.3309146591197854,Jul-94,0.2720491
1210.3490566037735,0.36004417610459116,Aug-94,0.40199658
1221.0623689727463,0.3672283369592442,Sep-94,0.46688697
1224.1711215932914,0.3472701640673346,Oct-94,0.54575723
1244.3592767295597,0.33233527762035586,Nov-94,0.46069396
1332.5801886792453,0.3602326243241358,Dec-94,0.34395525
1352.551886792453,0.3663363648564531,Jan-95,0.22891523
1320.8587526205451,0.3540101386511244,Feb-95,0.24827513
1347.4302935010483,0.3427853035954172,Mar-95,0.32700837
1306.218291404612,0.3367102259203697,Apr-95,0.41498762
1282.5083857442348,0.3436453612872318,May-95,0.32897398
1223.7416142557652,0.394466726715107,Jun-95,0.253419
1176.7295597484276,0.4220447658006601,Jul-95,0.12224635
1223.8162997903564,0.3242509565283017,Aug-95,0.13492967
1264.9221698113208,0.3308644721187741,Sep-95,0.18428752
1279.5746855345913,0.33588269953050787,Oct-95,0.26648793
1253.0657756813416,0.34994263472735165,Nov-95,0.24008462
